,Date,Advances,Unchanged,Declines,Total,pct_Adv,pct_Unc,pct_Dec,MA20,MA60,MA200,pct_MA20,pct_MA60,pct_MA200,RSI>70,RSI<30,pct_RSI>70,pct_RSI<30,MACD>0,MACD>Signal,pct_MACD>0,pct_MACD>Signal,New_High_20d,New_High_60d,New_High_250d,New_Low_20d,New_Low_60d,New_Low_250d,pct_New_High_20d,pct_New_High_60d,pct_New_High_250d,pct_New_Low_20d,pct_New_Low_60d,pct_New_Low_250d
422,2021-08-25,75,25,20,120,62.5,20.833333333333332,16.666666666666668,88,58,97,73.33333333333333,48.333333333333336,80.83333333333333,5,0,4.166666666666667,0.0,54,90,45.0,75.0,16,2,1,0,0,0,13.333333333333334,1.6666666666666667,0.8333333333333334,0.0,0.0,0.0
423,2021-08-26,49,27,44,120,40.833333333333336,22.5,36.666666666666664,88,60,98,73.33333333333333,50.0,81.66666666666667,5,0,4.166666666666667,0.0,62,91,51.666666666666664,75.83333333333333,12,1,1,0,0,0,10.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0
424,2021-08-27,57,24,39,120,47.5,20.0,32.5,92,64,98,76.66666666666667,53.333333333333336,81.66666666666667,5,0,4.166666666666667,0.0,69,94,57.5,78.33333333333333,19,2,2,0,0,0,15.833333333333334,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0
425,2021-08-30,76,20,24,120,63.333333333333336,16.666666666666668,20.0,94,73,101,78.33333333333333,60.833333333333336,84.16666666666667,9,0,7.5,0.0,78,94,65.0,78.33333333333333,29,4,3,0,0,0,24.166666666666668,3.3333333333333335,2.5,0.0,0.0,0.0
426,2021-08-31,36,22,62,120,30.0,18.333333333333332,51.666666666666664,91,75,102,75.83333333333333,62.5,85.0,6,0,5.0,0.0,78,93,65.0,77.5,21,3,2,1,0,0,17.5,2.5,1.6666666666666667,0.8333333333333334,0.0,0.0
427,2021-09-01,20,26,74,120,16.666666666666668,21.666666666666668,61.666666666666664,84,68,100,70.0,56.666666666666664,83.33333333333333,4,0,3.3333333333333335,0.0,80,94,66.66666666666667,78.33333333333333,7,0,0,3,0,0,5.833333333333333,0.0,0.0,2.5,0.0,0.0
428,2021-09-02,58,26,36,120,48.333333333333336,21.666666666666668,30.0,89,69,100,74.16666666666667,57.5,83.33333333333333,4,0,3.3333333333333335,0.0,83,92,69.16666666666667,76.66666666666667,11,3,2,0,0,0,9.166666666666666,2.5,1.6666666666666667,0.0,0.0,0.0
429,2021-09-03,38,25,57,120,31.666666666666668,20.833333333333332,47.5,86,71,99,71.66666666666667,59.166666666666664,82.5,3,0,2.5,0.0,84,92,70.0,76.66666666666667,8,4,4,1,0,0,6.666666666666667,3.3333333333333335,3.3333333333333335,0.8333333333333334,0.0,0.0
430,2021-09-06,50,24,46,120,41.666666666666664,20.0,38.333333333333336,89,74,98,74.16666666666667,61.666666666666664,81.66666666666667,5,0,4.166666666666667,0.0,82,93,68.33333333333333,77.5,13,2,1,2,0,0,10.833333333333334,1.6666666666666667,0.8333333333333334,1.6666666666666667,0.0,0.0
431,2021-09-07,18,17,85,120,15.0,14.166666666666666,70.83333333333333,77,62,97,64.16666666666667,51.666666666666664,80.83333333333333,5,0,4.166666666666667,0.0,80,84,66.66666666666667,70.0,13,2,1,8,0,0,10.833333333333334,1.6666666666666667,0.8333333333333334,6.666666666666667,0.0,0.0
